,price,manufacturer,graphics_copressor,ram,num_processors,touchable,ips,ppi,cpu_name,memory,os
71,2199.0,Asus,NVIDIA,16,8,0,0,225.28910166105322,AMD Ryzen 9,1024,Windows
72,3718.0,Asus,NVIDIA,16,8,0,0,209.8006828649808,AMD Ryzen 9,1024,Windows
73,2659.0,Asus,NVIDIA,16,16,0,0,169.78089942830815,AMD Ryzen 9,1024,Windows
74,1599.0,Asus,NVIDIA,16,24,0,0,141.21199808219862,AMD Ryzen 7,1024,Windows
75,2015.0,Asus,NVIDIA,16,8,0,0,127.33567457123111,AMD Ryzen 7,1024,Windows
76,3299.0,Asus,NVIDIA,32,24,0,0,141.50971698084905,Intel Core i9,1024,Windows
77,3999.0,Asus,NVIDIA,32,14,0,0,205.5164227014474,Intel Core i9,1024,Windows
78,2619.0,Asus,NVIDIA,32,8,0,0,209.8006828649808,AMD Ryzen 9,1024,Windows
79,3099.0,Asus,NVIDIA,32,12,0,0,169.78089942830815,AMD Ryzen 9,1024,Windows
80,1699.0,Asus,NVIDIA,32,8,0,0,141.21199808219862,AMD Ryzen 7,1024,Windows
81,3214.0,Acer,NVIDIA,16,24,0,0,188.67962264113208,Intel Core i9,1024,Windows
82,1999.0,Acer,NVIDIA,16,14,0,1,141.21199808219862,Intel Core i7,1024,Windows
83,1544.0,Dell,NVIDIA,16,14,0,0,188.28266410959816,Intel Core i7,1024,Windows
84,3324.0,Acer,NVIDIA,32,24,0,0,188.67962264113208,Intel Core i9,1024,Windows
85,1862.0,Acer,NVIDIA,32,8,0,1,141.21199808219862,Intel Core i7,1024,Windows
86,1934.0,Dell,NVIDIA,32,14,0,0,141.21199808219862,Intel Core i7,1024,Windows
87,1469.0,Dell,NVIDIA,32,8,0,0,141.21199808219862,AMD Ryzen 9,1024,Windows
88,2299.0,Acer,NVIDIA,64,14,0,1,141.21199808219862,Intel Core i7,1024,Windows
89,1566.0,Acer,NVIDIA,16,14,0,0,161.72539083525606,Intel Core i7,512,Windows
90,829.0,Dell,NVIDIA,8,6,0,0,141.21199808219862,Intel Core i5,256,Windows
91,1599.0,Asus,NVIDIA,16,14,0,0,193.5175616832124,Intel Core i9,1024,Windows
93,1499.0,HP,NVIDIA,16,10,0,0,137.68169813014364,Intel Core i7,1024,Windows
94,1249.0,HP,NVIDIA,16,14,0,0,137.68169813014364,Intel Core i7,1024,Windows
95,2847.0,Acer,NVIDIA,64,10,0,1,141.50971698084905,Intel Core i7,3072,Windows
97,2914.0,Acer,NVIDIA,64,10,0,1,141.50971698084905,Intel Core i7,3072,Windows
98,3130.0,Acer,NVIDIA,64,16,0,1,141.50971698084905,Intel Core i7,3072,Windows
99,1379.0,Asus,NVIDIA,8,6,0,1,127.33567457123111,Intel Core i5,512,Windows
100,1799.0,Asus,NVIDIA,16,14,0,0,211.81799712329794,Intel Core i9,512,Windows
101,1099.0,Asus,NVIDIA,16,14,0,0,141.21199808219862,Intel Core i7,512,Windows
102,1949.0,Asus,NVIDIA,16,14,0,0,141.21199808219862,Intel Core i7,512,Windows
103,2449.0,Asus,NVIDIA,16,8,0,0,209.8006828649808,AMD Ryzen 9,512,Windows
104,1989.0,Asus,NVIDIA,16,8,1,0,174.50138510162503,AMD Ryzen 7,512,Windows
105,1518.0,Asus,NVIDIA,16,8,0,0,141.21199808219862,AMD Ryzen 7,512,Windows
106,1349.0,Asus,NVIDIA,16,6,0,0,127.33567457123111,AMD Ryzen 5,512,Windows
107,1281.0,Asus,NVIDIA,16,6,0,1,127.33567457123111,AMD Ryzen 5,512,Windows
108,1799.0,Asus,NVIDIA,16,8,0,1,127.33567457123111,AMD Ryzen 7,512,Windows
109,1506.0,Acer,NVIDIA,16,8,0,0,157.3505121487356,AMD Ryzen 7,512,Windows
110,1348.0,Acer,NVIDIA,8,8,0,0,141.21199808219862,Intel Core i7,512,Windows
111,2179.0,Acer,NVIDIA,8,6,0,1,127.33567457123111,Intel Core i7,512,Windows
112,959.0,HP,NVIDIA,8,8,0,0,141.21199808219862,Intel Core i5,512,Windows
114,799.0,HP,NVIDIA,8,8,0,0,141.21199808219862,Intel Core i5,512,Windows
115,1375.0,Acer,NVIDIA,8,8,0,1,127.33567457123111,Intel Core i5,512,Windows
116,1294.0,Dell,NVIDIA,8,6,0,1,141.21199808219862,AMD Ryzen 5,512,Windows
117,1349.0,Acer,NVIDIA,12,1,0,0,141.21199808219862,Intel Core i5,512,Windows
118,2348.0,Microsoft,NVIDIA,16,4,0,0,240.37008503093264,Intel Core i7,512,Windows
119,1606.0,Acer,NVIDIA,16,8,0,1,141.21199808219862,Intel Core i7,512,Windows
120,1470.0,Acer,NVIDIA,16,8,0,0,141.21199808219862,Intel Core i7,512,Windows
121,1899.0,Acer,NVIDIA,16,14,0,1,141.21199808219862,Intel Core i7,512,Windows
122,1869.0,Acer,NVIDIA,16,6,0,1,141.21199808219862,Intel Core i7,512,Windows
123,1749.0,Acer,NVIDIA,16,8,0,1,141.21199808219862,Intel Core i7,512,Windows
124,2199.0,Acer,NVIDIA,16,6,0,1,141.21199808219862,Intel Core i7,512,Windows
125,1469.0,Samsung,NVIDIA,16,6,0,0,141.21199808219862,Intel Core i7,512,Windows
126,1399.0,Dell,NVIDIA,16,14,0,0,188.67962264113208,Intel Core i7,512,Windows
127,1915.0,Dell,NVIDIA,16,14,0,0,226.4155471693585,Intel Core i7,512,Windows
128,2047.0,Samsung,NVIDIA,16,1,0,0,137.68169813014364,Intel Core i7,512,Windows
129,1579.0,Acer,NVIDIA,16,4,0,1,141.21199808219862,Intel Core i5,512,Windows
130,1199.0,Acer,NVIDIA,16,8,0,1,141.21199808219862,Intel Core i5,512,Windows
131,1129.0,HP,NVIDIA,16,8,0,0,141.21199808219862,Intel Core i5,512,Windows
132,1379.0,Acer,NVIDIA,16,12,0,0,127.33567457123111,Intel Core i5,512,Windows
133,1522.0,Acer,NVIDIA,16,8,0,0,157.3505121487356,AMD Ryzen 7,512,Windows
134,1699.0,Acer,NVIDIA,16,8,0,0,188.28266410959816,AMD Ryzen 7,512,Windows
135,1281.0,Dell,NVIDIA,16,6,0,0,141.21199808219862,AMD Ryzen 5,512,Windows
136,999.0,HP,NVIDIA,16,6,0,0,141.21199808219862,AMD Ryzen 5,512,Windows
137,1299.0,Dell,NVIDIA,32,14,0,0,188.67962264113208,Intel Core i7,512,Windows
138,999.0,Acer,NVIDIA,32,8,0,0,141.21199808219862,Intel Core i5,512,Windows
139,1699.0,Acer,NVIDIA,32,12,0,1,141.21199808219862,Intel Core i5,512,Windows
140,1628.0,Acer,NVIDIA,32,6,0,1,127.33567457123111,AMD Ryzen 5,512,Windows
141,2307.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,3072,Windows
142,2199.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,3072,Windows
143,2266.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,3072,Windows
144,2239.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,3072,Windows
145,3799.0,Asus,NVIDIA,64,24,0,0,141.50971698084905,Intel Core i9,3072,Windows
146,2349.0,Asus,NVIDIA,64,14,0,0,141.21199808219862,Intel Core i7,3072,Windows
147,3599.0,Asus,NVIDIA,64,12,0,0,169.78089942830815,AMD Ryzen 9,3072,Windows
148,3499.0,Asus,NVIDIA,64,12,0,0,130.87603882621877,AMD Ryzen 9,3072,Windows
149,2449.0,Asus,NVIDIA,64,8,0,0,127.33567457123111,AMD Ryzen 7,3072,Windows
150,1849.0,Asus,NVIDIA,64,6,0,0,127.33567457123111,AMD Ryzen 5,3072,Windows
151,2199.0,Acer,NVIDIA,32,10,0,0,141.50971698084905,Intel Core i7,3072,Windows
152,5169.0,Dell,NVIDIA,32,14,0,1,266.3712319639512,Intel Core i7,3072,Windows
153,5304.0,Dell,NVIDIA,48,14,0,1,266.3712319639512,Intel Core i7,3072,Windows
154,3049.0,Dell,NVIDIA,64,24,0,0,141.21199808219862,Intel Core i9,3072,Windows
155,3778.0,Dell,NVIDIA,64,24,0,0,188.67962264113208,Intel Core i9,3072,Windows
156,3738.0,Dell,NVIDIA,64,24,0,0,188.67962264113208,Intel Core i9,3072,Windows
157,2319.0,Acer,NVIDIA,64,14,0,0,161.72539083525606,Intel Core i7,3072,Windows
158,3049.0,Dell,NVIDIA,64,14,0,1,145.1381712624093,Intel Core i7,3072,Windows
159,2739.0,Acer,NVIDIA,64,14,0,1,141.50971698084905,Intel Core i7,3072,Windows
160,3684.0,Dell,NVIDIA,64,16,0,1,188.67962264113208,Intel Core i7,3072,Windows
161,2658.0,Dell,NVIDIA,64,10,0,0,141.50971698084905,Intel Core i7,3072,Windows
162,5155.0,Dell,NVIDIA,64,14,1,0,266.3712319639512,Intel Core i7,3072,Windows
163,1956.0,Acer,NVIDIA,64,12,0,0,141.21199808219862,Intel Core i5,3072,Windows
164,1899.0,Acer,NVIDIA,64,12,0,0,127.33567457123111,Intel Core i5,3072,Windows
165,2239.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,Intel Core i5,3072,Windows
166,2307.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,Intel Core i5,3072,Windows
167,2249.0,Acer,NVIDIA,64,8,0,0,188.28266410959816,AMD Ryzen 7,3072,Windows
168,2671.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,AMD Ryzen 7,3072,Windows
169,2739.0,Acer,NVIDIA,64,8,0,1,127.33567457123111,AMD Ryzen 7,3072,Windows
170,1149.0,Acer,NVIDIA,8,4,0,1,141.21199808219862,Intel Core i5,256,Windows
171,1174.0,Acer,NVIDIA,8,4,0,1,141.21199808219862,Intel Core i5,256,Windows
172,1499.0,Acer,NVIDIA,8,8,0,0,188.28266410959816,AMD Ryzen 7,256,Windows
173,903.0,Acer,NVIDIA,8,6,0,1,141.21199808219862,AMD Ryzen 5,256,Windows
174,1149.0,Acer,NVIDIA,16,4,0,0,141.21199808219862,Intel Core i5,256,Windows
175,1599.0,Acer,NVIDIA,16,8,0,0,188.28266410959816,AMD Ryzen 7,256,Windows
176,1199.0,Acer,NVIDIA,32,4,0,0,141.21199808219862,Intel Core i5,256,Windows
177,2099.0,Asus,NVIDIA,32,14,0,0,141.21199808219862,Intel Core i7,2048,Windows
178,1969.0,Asus,NVIDIA,32,10,0,0,141.21199808219862,Intel Core i7,2048,Windows
179,1949.0,Asus,NVIDIA,32,10,0,0,188.67962264113208,Intel Core i7,2048,Windows
180,1899.0,Asus,NVIDIA,32,8,0,0,188.28266410959816,AMD Ryzen 7,2048,Windows
181,2199.0,Asus,NVIDIA,32,8,0,0,127.33567457123111,AMD Ryzen 7,2048,Windows
182,1649.0,Asus,NVIDIA,32,6,0,0,127.33567457123111,AMD Ryzen 5,2048,Windows
183,1969.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,2048,Windows
184,2037.0,Asus,NVIDIA,40,10,0,0,141.21199808219862,Intel Core i7,2048,Windows
186,2199.0,Asus,NVIDIA,64,14,0,0,141.21199808219862,Intel Core i7,2048,Windows
187,1999.0,Asus,NVIDIA,64,8,0,0,188.28266410959816,AMD Ryzen 7,2048,Windows
188,2299.0,Asus,NVIDIA,64,8,0,0,127.33567457123111,AMD Ryzen 7,2048,Windows
189,1699.0,Asus,NVIDIA,64,6,0,0,127.33567457123111,AMD Ryzen 5,2048,Windows
